"year","road_user","counterparty","Sum(hospitalisations)"
2016,"Car unknown position","Non-collision transport accident",59
2016,"Car unknown position","Other and unspecified transport accidents",587
2016,"Car unknown position","Pedestrian or animal",2
2016,"Heavy transport driver","Car, pick-up truck or van",64
2016,"Heavy transport driver","Fixed or stationary object",49
2016,"Heavy transport driver","Heavy transport vehicle or bus",53
2016,"Heavy transport driver","Non-collision transport accident",231
2016,"Heavy transport driver","Other and unspecified transport accidents",2
2016,"Heavy transport driver","Pedestrian or animal",3
2016,"Heavy transport driver","Train",1
2016,"Heavy transport passenger","Car, pick-up truck or van",10
2016,"Heavy transport passenger","Heavy transport vehicle or bus",7
2016,"Heavy transport passenger","Non-collision transport accident",24
2016,"Heavy transport passenger","Other and unspecified transport accidents",1
2016,"Heavy transport unknown position","Car, pick-up truck or van",0
2016,"Heavy transport unknown position","Heavy transport vehicle or bus",4
2016,"Heavy transport unknown position","Non-collision transport accident",20
2016,"Heavy transport unknown position","Other and unspecified transport accidents",15
2016,"Motorcyclist","2- or 3- wheeled motor vehicle",170
2016,"Motorcyclist","Car, pick-up truck or van",2302
2016,"Motorcyclist","Fixed or stationary object",785
2016,"Motorcyclist","Heavy transport vehicle or bus",81
2016,"Motorcyclist","Non-collision transport accident",3442
2016,"Motorcyclist","Other and unspecified transport accidents",1557
2016,"Motorcyclist","Other non-motor vehicle",7
2016,"Motorcyclist","Pedal cycle",9
2016,"Motorcyclist","Pedestrian or animal",169
2016,"Motorcyclist","Train",4
2016,"Other or unknown","Car, pick-up truck or van",6
2016,"Other or unknown","Fixed or stationary object",1
2016,"Other or unknown","Non-collision transport accident",5
2016,"Other or unknown","Other and unspecified transport accidents",603
2016,"Other or unknown","Other non-motor vehicle",3
2016,"Other or unknown","Pedestrian or animal",2
2016,"Pedal cyclist","2- or 3- wheeled motor vehicle",13
2016,"Pedal cyclist","Car, pick-up truck or van",1482
2016,"Pedal cyclist","Fixed or stationary object",415
2016,"Pedal cyclist","Heavy transport vehicle or bus",76
2016,"Pedal cyclist","Non-collision transport accident",3053
2016,"Pedal cyclist","Other and unspecified transport accidents",1432
2016,"Pedal cyclist","Other non-motor vehicle",13
2016,"Pedal cyclist","Pedal cycle",335
2016,"Pedal cyclist","Pedestrian or animal",83
2016,"Pedal cyclist","Train",2
2016,"Pedestrian","2- or 3- wheeled motor vehicle",61
2016,"Pedestrian","Car, pick-up truck or van",2407
2016,"Pedestrian","Heavy transport vehicle or bus",119
2016,"Pedestrian","Other and unspecified transport accidents",70
2016,"Pedestrian","Other non-motor vehicle",7
2016,"Pedestrian","Pedal cycle",53
2016,"Pedestrian","Pedestrian or animal",12
2016,"Pedestrian","Train",14
2016,"Pick-up truck or van occupant","2- or 3- wheeled motor vehicle",1
2016,"Pick-up truck or van occupant","Car, pick-up truck or van",93
2016,"Pick-up truck or van occupant","Fixed or stationary object",51
2016,"Pick-up truck or van occupant","Heavy transport vehicle or bus",23
2016,"Pick-up truck or van occupant","Non-collision transport accident",99
2016,"Pick-up truck or van occupant","Other and unspecified transport accidents",28
2016,"Pick-up truck or van occupant","Pedestrian or animal",2
2016,"Pick-up truck or van occupant","Train",1
2017,"Bus occupant","Car, pick-up truck or van",49
2017,"Bus occupant","Fixed or stationary object",8
