calendar year,6-monthly,cause of injury = traffic,road user,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",732,2986,WA
2013,Jan-Jun,Traffic,Motorcyclist,492,2934,WA
2013,Jan-Jun,Traffic,Pedal cyclist,387,1318,WA
2013,Jan-Jun,Traffic,Pedestrian,118,791,WA
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",19,221,WA
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,11,61,WA
2013,Jan-Jun,Traffic,Bus occupant,10,30,WA
2013,Jan-Jun,Traffic,Other or unknown,33,136,WA
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",524,2922,SA
2013,Jan-Jun,Traffic,Motorcyclist,209,1226,SA
2013,Jan-Jun,Traffic,Pedal cyclist,199,621,SA
2013,Jan-Jun,Traffic,Pedestrian,87,731,SA
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",14,135,SA
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,8,33,SA
2013,Jan-Jun,Traffic,Bus occupant,11,27,SA
2013,Jan-Jun,Traffic,Other or unknown,11,16,SA
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",135,726,Tas
2013,Jan-Jun,Traffic,Motorcyclist,69,344,Tas
2013,Jan-Jun,Traffic,Pedal cyclist,48,135,Tas
2013,Jan-Jun,Traffic,Pedestrian,23,144,Tas
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2013,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,Tas
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",110,574,ACT
2013,Jan-Jun,Traffic,Motorcyclist,72,349,ACT
2013,Jan-Jun,Traffic,Pedal cyclist,100,301,ACT
2013,Jan-Jun,Traffic,Pedestrian,14,179,ACT
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2013,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,ACT
2013,Jan-Jun,Traffic,Other or unknown,5,42,ACT
2013,Jan-Jun,Traffic,"Car driver, passenger or unknown position",120,757,NT
2013,Jan-Jun,Traffic,Motorcyclist,68,519,NT
2013,Jan-Jun,Traffic,Pedal cyclist,36,128,NT
2013,Jan-Jun,Traffic,Pedestrian,20,199,NT
2013,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2013,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2013,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,NT
2013,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,NT
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2883,10390,NSW
2013,Jul-Dec,Traffic,Motorcyclist,1364,6520,NSW
2013,Jul-Dec,Traffic,Pedal cyclist,942,2307,NSW
2013,Jul-Dec,Traffic,Pedestrian,527,3661,NSW
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",80,342,NSW
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,26,128,NSW
2013,Jul-Dec,Traffic,Bus occupant,37,170,NSW
2013,Jul-Dec,Traffic,Other or unknown,94,636,NSW
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",1901,6403,Vic
2013,Jul-Dec,Traffic,Motorcyclist,756,3000,Vic
2013,Jul-Dec,Traffic,Pedal cyclist,758,1873,Vic
2013,Jul-Dec,Traffic,Pedestrian,325,1802,Vic
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",46,226,Vic
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,25,125,Vic
2013,Jul-Dec,Traffic,Bus occupant,20,62,Vic
2013,Jul-Dec,Traffic,Other or unknown,55,259,Vic
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",1896,6464,Qld
2013,Jul-Dec,Traffic,Motorcyclist,1092,4467,Qld
2013,Jul-Dec,Traffic,Pedal cyclist,703,1836,Qld
2013,Jul-Dec,Traffic,Pedestrian,192,1317,Qld
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",98,423,Qld
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,29,97,Qld
2013,Jul-Dec,Traffic,Bus occupant,16,65,Qld
2013,Jul-Dec,Traffic,Other or unknown,76,259,Qld
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",720,4096,WA
2013,Jul-Dec,Traffic,Motorcyclist,466,2364,WA
2013,Jul-Dec,Traffic,Pedal cyclist,288,885,WA
2013,Jul-Dec,Traffic,Pedestrian,127,905,WA
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",21,121,WA
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,8,180,WA
2013,Jul-Dec,Traffic,Bus occupant,20,83,WA
2013,Jul-Dec,Traffic,Other or unknown,23,115,WA
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",582,2591,SA
2013,Jul-Dec,Traffic,Motorcyclist,246,1492,SA
2013,Jul-Dec,Traffic,Pedal cyclist,201,791,SA
2013,Jul-Dec,Traffic,Pedestrian,85,766,SA
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",11,67,SA
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,12,61,SA
2013,Jul-Dec,Traffic,Bus occupant,5,31,SA
2013,Jul-Dec,Traffic,Other or unknown,16,61,SA
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",130,622,Tas
2013,Jul-Dec,Traffic,Motorcyclist,80,284,Tas
2013,Jul-Dec,Traffic,Pedal cyclist,46,163,Tas
2013,Jul-Dec,Traffic,Pedestrian,20,339,Tas
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,Tas
2013,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,Tas
2013,Jul-Dec,Traffic,Other or unknown,9,81,Tas
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",102,371,ACT
2013,Jul-Dec,Traffic,Motorcyclist,65,262,ACT
2013,Jul-Dec,Traffic,Pedal cyclist,74,174,ACT
2013,Jul-Dec,Traffic,Pedestrian,19,178,ACT
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,n.p.,n.p.,ACT
2013,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,ACT
2013,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,ACT
2013,Jul-Dec,Traffic,"Car driver, passenger or unknown position",176,1063,NT
2013,Jul-Dec,Traffic,Motorcyclist,53,433,NT
2013,Jul-Dec,Traffic,Pedal cyclist,34,123,NT
2013,Jul-Dec,Traffic,Pedestrian,22,233,NT
2013,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,NT
2013,Jul-Dec,Traffic,Pick-up truck or van occupant,6,59,NT
2013,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,NT
2013,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,NT
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2623,10317,NSW
2014,Jan-Jun,Traffic,Motorcyclist,1296,5389,NSW
2014,Jan-Jun,Traffic,Pedal cyclist,1005,2679,NSW
2014,Jan-Jun,Traffic,Pedestrian,475,3671,NSW
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",77,439,NSW
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,39,118,NSW
2014,Jan-Jun,Traffic,Bus occupant,48,373,NSW
2014,Jan-Jun,Traffic,Other or unknown,59,313,NSW
2014,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1993,6785,Vic
2014,Jan-Jun,Traffic,Motorcyclist,858,3288,Vic
2014,Jan-Jun,Traffic,Pedal cyclist,899,2116,Vic
2014,Jan-Jun,Traffic,Pedestrian,312,2091,Vic
2014,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",58,337,Vic
2014,Jan-Jun,Traffic,Pick-up truck or van occupant,30,228,Vic
