calendar year,6-monthly,cause of injury = traffic,age group,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2013,Jul-Dec,Traffic,75+,80,814,WA
2013,Jul-Dec,Traffic,8-16,141,557,WA
2013,Jul-Dec,Traffic,0-7,21,41,SA
2013,Jul-Dec,Traffic,17-25,252,1260,SA
2013,Jul-Dec,Traffic,26-39,264,1301,SA
2013,Jul-Dec,Traffic,40-64,379,2054,SA
2013,Jul-Dec,Traffic,65-74,66,428,SA
2013,Jul-Dec,Traffic,75+,84,535,SA
2013,Jul-Dec,Traffic,8-16,92,241,SA
2013,Jul-Dec,Traffic,0-7,n.p.,n.p.,Tas
2013,Jul-Dec,Traffic,17-25,72,241,Tas
2013,Jul-Dec,Traffic,26-39,56,224,Tas
2013,Jul-Dec,Traffic,40-64,80,397,Tas
2013,Jul-Dec,Traffic,65-74,24,130,Tas
2013,Jul-Dec,Traffic,75+,n.p.,n.p.,Tas
2013,Jul-Dec,Traffic,8-16,25,61,Tas
2013,Jul-Dec,Traffic,0-7,n.p.,n.p.,ACT
2013,Jul-Dec,Traffic,17-25,53,253,ACT
2013,Jul-Dec,Traffic,26-39,79,231,ACT
2013,Jul-Dec,Traffic,40-64,88,350,ACT
2013,Jul-Dec,Traffic,65-74,9,29,ACT
2013,Jul-Dec,Traffic,75+,n.p.,n.p.,ACT
2013,Jul-Dec,Traffic,8-16,16,28,ACT
2013,Jul-Dec,Traffic,0-7,n.p.,n.p.,NT
2013,Jul-Dec,Traffic,17-25,73,533,NT
2013,Jul-Dec,Traffic,26-39,96,630,NT
2013,Jul-Dec,Traffic,40-64,80,531,NT
2013,Jul-Dec,Traffic,65-74,5,36,NT
2013,Jul-Dec,Traffic,75+,n.p.,n.p.,NT
2013,Jul-Dec,Traffic,8-16,39,190,NT
2014,Jan-Jun,Traffic,0-7,112,297,NSW
2014,Jan-Jun,Traffic,17-25,1144,3626,NSW
2014,Jan-Jun,Traffic,26-39,1343,4489,NSW
2014,Jan-Jun,Traffic,40-64,1887,8131,NSW
2014,Jan-Jun,Traffic,65-74,442,2497,NSW
2014,Jan-Jun,Traffic,75+,371,3252,NSW
2014,Jan-Jun,Traffic,8-16,323,1007,NSW
2014,Jan-Jun,Traffic,0-7,64,182,Vic
2014,Jan-Jun,Traffic,17-25,913,2970,Vic
2014,Jan-Jun,Traffic,26-39,1016,2844,Vic
2014,Jan-Jun,Traffic,40-64,1476,5323,Vic
2014,Jan-Jun,Traffic,65-74,303,1740,Vic
2014,Jan-Jun,Traffic,75+,260,1780,Vic
2014,Jan-Jun,Traffic,8-16,205,439,Vic
2014,Jan-Jun,Traffic,0-7,114,217,Qld
2014,Jan-Jun,Traffic,17-25,823,2422,Qld
2014,Jan-Jun,Traffic,26-39,925,3263,Qld
2014,Jan-Jun,Traffic,40-64,1231,5244,Qld
2014,Jan-Jun,Traffic,65-74,199,974,Qld
2014,Jan-Jun,Traffic,75+,166,1006,Qld
2014,Jan-Jun,Traffic,8-16,285,891,Qld
2014,Jan-Jun,Traffic,0-7,41,108,WA
2014,Jan-Jun,Traffic,17-25,354,1608,WA
2014,Jan-Jun,Traffic,26-39,417,1976,WA
2014,Jan-Jun,Traffic,40-64,497,2655,WA
2014,Jan-Jun,Traffic,65-74,90,491,WA
2014,Jan-Jun,Traffic,75+,75,798,WA
2014,Jan-Jun,Traffic,8-16,135,409,WA
2014,Jan-Jun,Traffic,0-7,20,31,SA
2014,Jan-Jun,Traffic,17-25,279,807,SA
2014,Jan-Jun,Traffic,26-39,284,1055,SA
2014,Jan-Jun,Traffic,40-64,417,2096,SA
2014,Jan-Jun,Traffic,65-74,72,556,SA
2014,Jan-Jun,Traffic,75+,88,644,SA
2014,Jan-Jun,Traffic,8-16,65,191,SA
2014,Jan-Jun,Traffic,0-7,n.p.,n.p.,Tas
2014,Jan-Jun,Traffic,17-25,62,204,Tas
2014,Jan-Jun,Traffic,26-39,84,355,Tas
2014,Jan-Jun,Traffic,40-64,108,589,Tas
2014,Jan-Jun,Traffic,65-74,n.p.,n.p.,Tas
2014,Jan-Jun,Traffic,75+,35,258,Tas
2014,Jan-Jun,Traffic,8-16,22,56,Tas
2014,Jan-Jun,Traffic,0-7,6,25,ACT
2014,Jan-Jun,Traffic,17-25,70,198,ACT
2014,Jan-Jun,Traffic,26-39,71,186,ACT
2014,Jan-Jun,Traffic,40-64,85,320,ACT
2014,Jan-Jun,Traffic,65-74,16,98,ACT
2014,Jan-Jun,Traffic,75+,13,163,ACT
2014,Jan-Jun,Traffic,8-16,17,30,ACT
2014,Jan-Jun,Traffic,0-7,n.p.,n.p.,NT
2014,Jan-Jun,Traffic,17-25,74,457,NT
2014,Jan-Jun,Traffic,26-39,92,481,NT
2014,Jan-Jun,Traffic,40-64,78,356,NT
2014,Jan-Jun,Traffic,65-74,n.p.,n.p.,NT
2014,Jan-Jun,Traffic,75+,7,90,NT
2014,Jan-Jun,Traffic,8-16,25,86,NT
2014,Jul-Dec,Traffic,0-7,105,449,NSW
2014,Jul-Dec,Traffic,17-25,1184,3448,NSW
2014,Jul-Dec,Traffic,26-39,1359,4943,NSW
2014,Jul-Dec,Traffic,40-64,1862,7391,NSW
2014,Jul-Dec,Traffic,65-74,400,2267,NSW
2014,Jul-Dec,Traffic,75+,445,3453,NSW
2014,Jul-Dec,Traffic,8-16,336,790,NSW
2014,Jul-Dec,Traffic,0-7,73,188,Vic
2014,Jul-Dec,Traffic,17-25,894,2329,Vic
2014,Jul-Dec,Traffic,26-39,1076,2796,Vic
2014,Jul-Dec,Traffic,40-64,1394,4462,Vic
2014,Jul-Dec,Traffic,65-74,316,1631,Vic
2014,Jul-Dec,Traffic,75+,295,1775,Vic
2014,Jul-Dec,Traffic,8-16,238,566,Vic
2014,Jul-Dec,Traffic,0-7,102,426,Qld
2014,Jul-Dec,Traffic,17-25,928,2667,Qld
2014,Jul-Dec,Traffic,26-39,894,2935,Qld
2014,Jul-Dec,Traffic,40-64,1315,5773,Qld
2014,Jul-Dec,Traffic,65-74,258,1141,Qld
2014,Jul-Dec,Traffic,75+,177,1274,Qld
2014,Jul-Dec,Traffic,8-16,308,783,Qld
2014,Jul-Dec,Traffic,0-7,38,362,WA
2014,Jul-Dec,Traffic,17-25,321,1753,WA
2014,Jul-Dec,Traffic,26-39,417,2236,WA
2014,Jul-Dec,Traffic,40-64,507,2754,WA
2014,Jul-Dec,Traffic,65-74,79,656,WA
2014,Jul-Dec,Traffic,75+,74,479,WA
2014,Jul-Dec,Traffic,8-16,109,304,WA
2014,Jul-Dec,Traffic,0-7,25,75,SA
2014,Jul-Dec,Traffic,17-25,230,775,SA
2014,Jul-Dec,Traffic,26-39,237,887,SA
2014,Jul-Dec,Traffic,40-64,419,2806,SA
2014,Jul-Dec,Traffic,65-74,80,507,SA
2014,Jul-Dec,Traffic,75+,83,625,SA
2014,Jul-Dec,Traffic,8-16,82,141,SA
2014,Jul-Dec,Traffic,0-7,7,9,Tas
2014,Jul-Dec,Traffic,17-25,74,194,Tas
2014,Jul-Dec,Traffic,26-39,65,238,Tas
2014,Jul-Dec,Traffic,40-64,99,427,Tas
2014,Jul-Dec,Traffic,65-74,16,136,Tas
2014,Jul-Dec,Traffic,75+,24,249,Tas
2014,Jul-Dec,Traffic,8-16,28,79,Tas
2014,Jul-Dec,Traffic,0-7,n.p.,n.p.,ACT
2014,Jul-Dec,Traffic,17-25,53,158,ACT
2014,Jul-Dec,Traffic,26-39,76,237,ACT
2014,Jul-Dec,Traffic,40-64,86,337,ACT
2014,Jul-Dec,Traffic,65-74,14,40,ACT
2014,Jul-Dec,Traffic,75+,n.p.,n.p.,ACT
2014,Jul-Dec,Traffic,8-16,16,51,ACT
2014,Jul-Dec,Traffic,0-7,n.p.,n.p.,NT
2014,Jul-Dec,Traffic,17-25,80,315,NT
2014,Jul-Dec,Traffic,26-39,80,378,NT
2014,Jul-Dec,Traffic,40-64,87,643,NT
2014,Jul-Dec,Traffic,65-74,10,46,NT
2014,Jul-Dec,Traffic,75+,n.p.,n.p.,NT
2014,Jul-Dec,Traffic,8-16,23,62,NT
2015,Jan-Jun,Traffic,0-7,100,297,NSW
2015,Jan-Jun,Traffic,17-25,1225,3720,NSW
2015,Jan-Jun,Traffic,26-39,1286,3889,NSW
2015,Jan-Jun,Traffic,40-64,1883,7547,NSW
2015,Jan-Jun,Traffic,65-74,391,2442,NSW
2015,Jan-Jun,Traffic,75+,401,2622,NSW
2015,Jan-Jun,Traffic,8-16,335,1074,NSW
2015,Jan-Jun,Traffic,0-7,84,174,Vic
2015,Jan-Jun,Traffic,17-25,912,2474,Vic
2015,Jan-Jun,Traffic,26-39,1136,3117,Vic
2015,Jan-Jun,Traffic,40-64,1529,5037,Vic
2015,Jan-Jun,Traffic,65-74,329,1519,Vic
2015,Jan-Jun,Traffic,75+,296,1915,Vic
2015,Jan-Jun,Traffic,8-16,246,679,Vic
