"year","state","road_user","Sum(hospitalisations)","Sum(bed_days)"
2020,"WA","Motorcyclist",949,5912
2020,"WA","Other or unknown",74,243
2020,"WA","Pedal cyclist",834,2464
2020,"WA","Pedestrian",183,1127
2020,"WA","Pick-up truck or van occupant",34,136
2021,"ACT","Car driver, passenger or unknown position",234,1037
2021,"ACT","Motorcyclist",144,541
2021,"ACT","Pedal cyclist",333,964
2021,"ACT","Pedestrian",22,190
2021,"NSW","Bus occupant",50,255
2021,"NSW","Car driver, passenger or unknown position",3669,23489
2021,"NSW","Heavy transport driver, passenger or unknown position",103,690
2021,"NSW","Motorcyclist",2253,13985
2021,"NSW","Other or unknown",164,1445
2021,"NSW","Pedal cyclist",2042,7091
2021,"NSW","Pedestrian",649,7740
2021,"NSW","Pick-up truck or van occupant",73,403
2021,"NT","Bus occupant",5,8
2021,"NT","Car driver, passenger or unknown position",362,2518
2021,"NT","Motorcyclist",157,640
2021,"NT","Other or unknown",8,124
2021,"NT","Pedal cyclist",92,215
2021,"NT","Pedestrian",58,383
2021,"NT","Pick-up truck or van occupant",9,17
2021,"QLD","Bus occupant",38,105
2021,"QLD","Car driver, passenger or unknown position",5471,18802
2021,"QLD","Heavy transport driver, passenger or unknown position",144,634
2021,"QLD","Motorcyclist",2598,12076
2021,"QLD","Other or unknown",152,861
2021,"QLD","Pedal cyclist",1504,4776
2021,"QLD","Pedestrian",448,3191
2021,"QLD","Pick-up truck or van occupant",92,444
2021,"SA","Bus occupant",14,42
2021,"SA","Car driver, passenger or unknown position",1231,5579
2021,"SA","Heavy transport driver, passenger or unknown position",26,85
2021,"SA","Motorcyclist",556,2594
2021,"SA","Other or unknown",40,205
2021,"SA","Pedal cyclist",577,1813
2021,"SA","Pedestrian",172,1510
2021,"SA","Pick-up truck or van occupant",16,24
2021,"TAS","Car driver, passenger or unknown position",399,2749
2021,"TAS","Motorcyclist",198,1116
2021,"TAS","Other or unknown",8,41
2021,"TAS","Pedal cyclist",118,687
2021,"TAS","Pedestrian",46,202
2021,"TAS","Pick-up truck or van occupant",13,17
2021,"VIC","Bus occupant",37,287
2021,"VIC","Car driver, passenger or unknown position",5402,24726
2021,"VIC","Heavy transport driver, passenger or unknown position",136,1206
2021,"VIC","Motorcyclist",1967,11727
2021,"VIC","Other or unknown",135,938
2021,"VIC","Pedal cyclist",2695,7881
2021,"VIC","Pedestrian",682,7322
2021,"VIC","Pick-up truck or van occupant",76,612
2021,"WA","Bus occupant",22,53
2021,"WA","Car driver, passenger or unknown position",1579,9940
